BATUĞ MUTMAN        1109161866CC*CAAADDEABBCAAEABCBACEBEBEACDCEDEBBECBBCBBAEBECDECCDBEEEBBDBBACEEDADCCCBBECBDCDACADADBEADDBACC                                                                                                                                                           
BERGÜZAR KAÇARANOĞLU1696763310AEACCABECBBACABADEBECEBCCEBDBECECEDCCCBBCEDBCDEEEDECAEAEBBCBADCEEBECCBECBBDBCBEABDBECEDADEBDCDDD                                                                                                                                                           
BENGİSU BOYA        1698495169AEABCAAECBCACABBDEAECEBCCEBDBECEBEDCBEBBEEEBCDEEEDECAECEBBEBADCEEDCCCBECBBDBCBEAEDEDCDAEDCBDCDAD                                                                                                                                                           
ÜLKER NAYMAN        1701567444AEACCABBCBBACDBADEABAEBCCEADBCCCDEDCECBACEEBCDECACECAABEBBEBADCEEBECCBECBBDCDCEABCBEEDDCEABEBDED                                                                                                                                                           
YAĞMUR HELİN ŞARKIŞL1715437109AEACCABECBBABBBADEAEBEBCCEBACECEBECEEECECEEBCDECABECAEBEEBEBADCEEBECCCEABBDBCBEAEABDEBAADCBCCDAD                                                                                                                                                           
TÜRKAN NALÇACI      1719500452AEAECABECBDACDBADEAEAEBCDEBDBECEBEECBEBBAEABCDEEADECAEBEBBEBADCEEBECCBECBBDBCDEABDBECDAADCBDEEDD                                                                                                                                                           
GÜLTEN GÜDÜCÜ       1725129832AEABCABECBBACCBBDEDEAEBCCEBDCEECBDDCBDAADBEBCDECACECAACEBBEBADCEEADCCBEABBABBCEABEBEECABDCBDCDDD                                                                                                                                                           
BETÜL BOZYER        1725719182AEACCABECBBACABADEBBDEBCCEADCECECEDCBCBBCEDBCDEEACECAEAEBBEBADCEEBECCBECBBDBCBEABDBACDDBDABDCDAD                                                                                                                                                           
BEHİYE ŞAMLIOĞLU    1743283132AEAECABECBEACBBADECEAEBCCEBDBCCECEDCBCBACEDBCBEEADECAEBEBBEBADCEEBBCCAECBBDBDCEABEAEBDAADCBDCDAD                                                                                                                                                           
MEHMET BARIŞ KONDAKC1748724006DDBCDBBBECABEACBCDABEADDCBCBBECBEDBCDBCCEBEEECAEEECCDBAEEEBADBBEBECBBEDCCBCCCADDBEABEBEDCDCBECDA                                                                                                                                                           
ASLICAN ŞEKERCİOĞLU 1770802653DEACABEAECABEACBCBADEAEDBBCBDECAEDBCDBCDEAEDBCAEBEECDCAEEEBADBBEBECBBEDCCACBDBEDDEABCAEEDDEBDBDA                                                                                                                                                           
VOLKAN EYÜP EFŞİN   1771355668DDBEDBBAECABEACBCBABEBEDCBCBAEABEDBCDBDCEAEEBCAEEEECDDAEEEBADBBEBECBBEDCCACADADDBEABDBDDCDCBDCDA                                                                                                                                                           
ERSİN GÖRGÜLÜ       1777909325DDBCABEAECABEDCBCDABCBECCBCBAECBEEDCDCCCEBEEBCAEEEECDCAECEBADBBEBECBBEDCCBCADAADBEABEBDDCDCBCADC                                                                                                                                                           
DİLSEREN ÇARICI     1778469010DDBCAEEAECABEACBCCACADEDEBBBDECCECBCDCCCEAEDCCAEEEECDCDECEBADBCEEEDBBBDCCACBEADDCEAEEBDECDCBDCDA                                                                                                                                                           
ZEYNEP BÜŞRA DERDEME1781387169DDACABEBECABEACBCBADEAEDCBCBAECBEDBCDBCCEBEECCAADEECECAEEEBADBBEBECBBDDCCBCDCEEDBEABEBEDEDABCCDA                                                                                                                                                           
SEMİNA AKTUNA       1781706553AEACCABECBBACABCEEAEAEBCCEBABECCBDDCBCCBCEDBCDEEACECAEDCBBEBADCEEBECCBECBBDBDBEABDBECCABDABDBDDD                                                                                                                                                           
MACİDE KÖKCÜ        1782976077CC CAEBBDEAAACBAEACEDACEBEBEDCDCEDDDCCCBBCBBACCECDEBCBCEEEBBEBBACEDDABCCCBBECBDBAAADDADDEABEDBED                                                                                                                                                           
MÜGE TOPAL          1793559382CCBCDEBBDEABCCAAEABCBECEBEBEACDCEDEBDDCBBCBBAEBECDEAECCEEEBBEBBACEDDBCCCBBBECBDCDBCDDADBEABEDBCD                                                                                                                                                           
TAYYİBE KARANİSOĞLU 1802720448DDBCABEAECABEACBCCABEBCDCBCBAECAEDBCDCCCEBEDCCAECEECDDAEEEBADBBEBECBBEDCCBCBCCDDBEABDBEDCDCBDCDD                                                                                                                                                           
TUBANUR DERELİ      1843695081DDACABEAECAAEACBCBABEAEDCBCAAECBEDBCDBCCEBCCBCAEEEECDDAEEEBADBBEBECBBEDCCBCBCAADBEABCBEDCDCBDCDA                                                                                                                                                           
İLMA ALDAĞ          1846974856DDACCBEAECABEACBCBABEBEBCBCBDECBEDBCDCCCEBEEBCAEEEECDCAEEEBADBBEBECBBEDCCBCBDBDDCEABDBDDCDCEDCDD                                                                                                                                                           
BEKTAŞ GÜLENÇ       1855412625DDBCACEAECABEACBCBACEBEDCBCCAECBEDBCDBCCEBEECCAEEECCDCCECEBADBBEBECBBEDCCCCCDBADDEABABDCCDABCCDA                                                                                                                                                           
GÜLŞAH YARBAS       1871549769DDBCDBBBECABEAEBCBABEBCDCECDAECABABCDBCDEDEEBBAEEDECEDAEEEBADBBEBECBBEDCCBCBCBEDCEABEBEDCDCBDCDD                                                                                                                                                           
AFRA SELCEN ÇAĞAN   1877640378DDBCABEBECABEACBCBABEBECCBCCCECBEEBCDBEDEBEEBBACEEECDCAEBEDADBBEBECBBEDCCCCCCADDBEABEBDCCDCBDCDA                                                                                                                                                           
AHMET UTKU TAÇ      1892024799DDACDBEAECABEACBECABEBEDCBCEAECBEDBCDDCCEBEECCAEEACCDCAEEEDADBBEBECBBEDCCBCBCBADBEABEBDBCDCBACDE                                                                                                                                                           
AREL TALAŞ          1916414267DAACBBEDEDACBDCBCCADEDEDBBCBAEDBECBCDEECEBAEACAEEAECDDACEEDAABBEBECBBCDCCDCADBDDBEAEEACDBDABCCDD                                                                                                                                                           
NURETTİN HAZAR YEŞİL1962466598DDACABEAECBCCCCBDCABEBCCCDCBAEAAAEBCDEECECEBECBEBECCDBECEEBADBBEBECBBADBCCECEEBEEEADACDBEDABBBAD                                                                                                                                                           
ZİYNET POSBIYIK     1985996728BCDBDAEACAEACAECBACEABEDEBEDCBDEAEBCAEAECDCCCAECECDEEAECEBEBBEBADECCBBCCEACBDDABCCDDDCAABDBEECAE                                                                                                                                                           
DENKTAŞ GÜLŞEN      1994616690BCDBDAEACAEACBECBACBBBDDCCCBCBEDBCBCCEBECDBCCAEAECBDEAECEBEBBEBADECCBBDCEBCCCDCBDCDADBEADBBDCDAD                                                                                                                                                           
GÖRKEM MORELLİ      2005435688AEACCABECBBACABBDEAEAEBCAEBDBECDBDCCACBBAEDBCDEEACECAEBEBBEBADCEEBECCBECBBDCCBEADDBDCEEBDCBDBDDD                                                                                                                                                           
HASAN GÜRKAN MURATOĞ2010972364CCBCDEAADEAECCBAEABEBCCEBEBEACDCEDEBDCCDBCBBAEBECEEAECCEEEBBEBBACEDDBDCCABBECBCCABCDDADAAABDEBCD                                                                                                                                                           
HAYRUNNİSA AŞVEREN  2024831318DDDCBBEAECABEACBCBADEBEDCBBBDECBEDBCDDCCEBEEECAEEECCDDBEEEBADBEEBECEBEDCCBCADCDDDEAAEBEDEDCBDBDA                                                                                                                                                           
EVREN BURAK KIZILIRM2031153630DDCCBBEAECACEACBCDACEBDDCBCBAECBEDBCDBD EBEEBCAECEECDBEEEEBADBBEBECBBEDCCACBDADDBEAACBDDCDABDCDA                                                                                                                                                           
İMRAN MUSAVİ ÜLGEY  2059522008AEACCABECBBACEBADEABAEBCBEBDBECEBDBCCCAACEEBCDEEAEECAEBEBBEBADCEDBDCCBECBCDCDBEABEBECDEADCBDCDDD                                                                                                                                                           
NECİP FAZIL KANLI   2077984731CCBCAEBADEACCCBAEABCBACEAEBEACDCDECDDDCABCBAAEBECDEACCCEEEBBEBBACEDDBDCCCBBECBDBABADDADDEABBEBED                                                                                                                                                           
ÜMRAN POÇAN         2085229946BCABDAEACAEACBECBABBBBDDCECECAEDAEBCCEBECDBECAEBECDBEAECEBEBBEBADECCBBDCEBCCDDCBDCDDDDEABEBECAAD                                                                                                                                                           
SELEN ELİF YILDIRIME2085520004DDACDBEAECABEACBCBABCBEECBCBEECAEDBCDBCEEAEEECAEEDCCEDAEDCBADBBEBECBBECCCDCCCEDDDEABDAEDEDABDBDA                                                                                                                                                           
RÜYA SU TORĞUTALP   2091115062CCBCCEBBDEABCCAABBBCBECEBEBECCDDECEBEECBBCABAEBECDEACDCEEEBBDBBACEEDCCCCBBBECBEAACCDDDDEDACECBCE                                                                                                                                                           
ELİF BEYZA ÇARK     2113331430CCBCAEBADEABCCAAEABCBECEBEBEDCDEEDEBDECBBCBCAEBCCDEAEACEEEBBEBBACEDDCDCCBBBECBDCAAEDDADBEABEEBCE                                                                                                                                                           
RAMAZAN TARIK HAMARA2140197715BCABDAEACAEADBECBACEBBEDCACBDBECAEBCCEBECDBECAEBECDEEAECEBEBBEBADECCBBDCEBCBDDCBCCDADBEABCBECDAD                                                                                                                                                           
RUKİYE ESGİN        2150375985AEAECABECBBACDBBDEAEAEBCCEBDBECEBDDBCCBBCEDDCDEEACECAEBDBBEBADCEEBDCCCECBBDACBEABEBEDEABDCBDCDAD                                                                                                                                                           
FETHULLAH ALTINÖZ   2154045623CCBCAABADEACCDAAEAACBECEBEBEADDCEDDBDECBBCEBAEBECDEAECCEEECBEBBEBEDDBDCCBBBDCBDCDCCBDADBEABDEBCD                                                                                                                                                           
BORAN HAMİDİ        2177457598AEACCABCCBCACABADDAEEEBCCEBDCBCDDCDCBCBECEDBCEBAEDDCAEBCBBEBADCEEBECCCCABBDCBBEEDABEEAACDABDADAD                                                                                                                                                           
AHUELA USLUER       2179734084AEACCABECBBACBBADEAECEBCCEBDBCCEDEDCBCBBCEDBCDEEABECAEBEBBEBADCEECECCBECBBDCDBEAADBECDDBDCBDCDAD                                                                                                                                                           
KANAAT SOYULMAZ     2182488571CCBCCEBADEABADADBACCEACEBEBBDCAEBCDCDECDBCABAABECDDACBBEEEBBEBBACEDDBDCCCEEACBDCDAAADADDEABDEBCC                                                                                                                                                           
GALİP MİRZANLI      2184663115BDEBDAEAAAEACBCCBABEABEDCBCBECEDCEBCEEBECDBECAEBECDEEACDEBEBBEBADECCBBDCCBCBDDCBDCDDDBEABDBDEAAA                                                                                                                                                           
MİRAÇ DEMIRÖREN     2203630088BCDBDAEACAEACBECBABEBCEDCBCBCBEDAEBCCEBECDBECAECBCDECACAEBDBBEBADECCBBDCEACCCACBDCDDDCEABCBEEDAA                                                                                                                                                           
MURATHAN ÖZDİL      2206701967BCABDBEACAEACBECBABEBCEDCBEBCBEDAEBCCEBECDBECAEBECDEEAEDEBEBBEBADECCBBDCEBCCCDABDCDADDEABEBECDBA                                                                                                                                                           
HÜSEYİN ZEYD ERCOŞKU2212730381AEACCABECBBACABADEAEAEBCCEADBECEBCDCBCBBCEDBCDEEACCCAEBEBBEBADCEEBECCBECBBDBCBEABCBECDDADCBDCDAD                                                                                                                                                           
KÜBRA TANSU BİLGİT  2237765691DDBCDBEAECABBACBCCADEAECC CBDEEBECACDBCCEAEBBCAEEECCDBBEEEBADBEEBECBBEDCCBCCDAADBEABDBDDCDABDCDA                                                                                                                                                           
PERTEV METİN        2248950142DDBCABEAECABEACBCBADBBDDCCCBAECBDDBCDBCCEBECECAEEECCDCAEEEBADBBEBECBBEDCCBCBDEEDEEABDBEECDCBCCDD                                                                                                                                                           
ABDULLAH FURKAN SENT2263697653BCABDAEACAEACBBCBABEABEDCBCBCBEDAEBCCEDECDBCCAEBECDEEAEDEBEBBEBADECCBBDCEBCBCDDCCADEDBEABDBDCDAD                                                                                                                                                           
IBRAHIM KAYAHAN     2265218798DDBCDBEAECABEACBCBAADBDCEBCBCEBBEDBCDCECEBEBBCAECECCDCAECDBADBBCBBCBBEDCCBCBDCADCEABEBDDEDCBDCDD                                                                                                                                                           
HAVAGÜL MERCİMEKÇİ  2265693139CCBCAEBADEABCCAAEABCBECEBEBEACDBEDEBDDCCBCBBAEBECDEAECCEEEBBEBBACEDDBDCCBBBECBDCDACDDADBEABEEBCD                                                                                                                                                           
DOĞCAN TOKALI       2269239474BCABDABACAEACBECBABEBBEDCBCBCBEDAEBCCEBECDBECAEBECDDEAECEBEBBEBADECCBBDCEBCBCDCEDCDADBEABCBECDAA                                                                                                                                                           
MUSTAFA EMİR KARADEM2272029241AEACCABECBBACABBBEDEAEBCCEBDBECEBDCCBCBBBEDBCDEAACECAEBEBBEBADCEEBECCAECBBDBCCEABABDCDAADABECDAD                                                                                                                                                           
İREM BAŞAK OĞUZHAN  2275505498DDBCDBEAECABEACBCBABDBCDCBCAEECAEDBCDCCCEBEECCACEBECDC* EEBADBBEBECBBEDCCBCBCAADBEABAAEDCDCBDCDA                                                                                                                                                           
ELİF KEVSER EROĞLU  2299526034DDACEBEAECABEACBCCABEAEDCBCBAECBECBCDBDCEAEEBCAEEEECDECEEEBADBBEBECBBEDCCACACADDBEABEBDDCDCBDCDA                                                                                                                                                           
SULHADİN VARLI      2318320297AEACCABECBBACABBDEAEAEBCCEBDBECEBEDCECBBCEDACDEEECCCACCBBBEBADCEEBECCBECBBDBCBEABDBECDDADBBDCDAD                                                                                                                                                           
MAHPERİ BAŞTOPÇU    2336244753AEACCABECBBACABADEAEAEBCCEADDECEBEDCBBBBBDCBCDEEACECAEBEBBEBADCEEBECCBECBBDBDBEABCBECDDADCBDCDAD                                                                                                                                                           
AHMET MEHDİ KESKİN  2336301375BCDBDAAACAEACBECBABEBBDECACADBEDAEBCDEBEBDBECAEBECDECAEAECCBBEBCDECCBBDCECCBEDCBDBBADCEABDBECEAD                                                                                                                                                           
AYSU PARLAK         2377022139CCBCDEBADEABCCAACACECECEBEBEADDBEEEDDECBBEABAEBECDEACDCEEEBBEBBACEDDDCCCCBBBCBCCDACDDADBEAABDBCD                                                                                                                                                           
EMİNE TUĞÇE ÖZIRK   2378014486BCABDAEACAEACBBCBABBBBEDCACECAEDAEBCCEBECDCCCAEBDCDEBACCEBEBBEBADECCBBDCEBCADDCBDCDDEBEABEBDCDAD                                                                                                                                                           
SERDAR KAAN BARBAROS2385022328CCBCAEBADEABCCAAEABCCECEBEBEACDAEEEBDECBBCBBAEBECDEBECCEEEBBEBEACEDDBDCCBBBECBDCEAADDDDBEABEEBCD                                                                                                                                                           
AYŞE CANSU YAŞA     2391028214DDBCCBBAEBAAEACBCBABEBCDCBCBAECAEABEDECCEBEDBCAEEEACDCEEEEBAD BEBECBBEDCCBCBCADDCEABEBEDEDCBDCDA                                                                                                                                                           
AYBİKE GÜLEÇ        2400890313AEACCABECBBACABADEAEAEBCCEBDBECEBCDCBCBBBEDBCDEEADECAEAEBBEBADCEEBECCBECBBDBDBEABDBECDDADCBDCDAD                                                                                                                                                           
TAZİKA HİLAL HAMZAOĞ2402685957CCBCAEBBDEABCCAAEABDDECEBEBBABDCEDDADDCDBCABAEBBCCEACEBEEEBBCBBACEDDCBCCCBBECBDCAAADDDDBEABDEAED                                                                                                                                                           
NEVA ÇUHADAR        2440972380DDACABEAECABEACBCBABEBEDCBCBAECBEDBCDBCCEBECBCAEEEECDCAEEEBADBBEBECBBEDCCBCBCBDDBEABDBEDCDCBDCDA                                                                                                                                                           
TÜNAY SEYHAN        2453320832BCABDAEDCAEACBECBABEBEDDCBEABAEDBEBCCEDECDBECAEBECDEEAEEEBEBBEBADECCBBDCECCCCDBBDCDADBEABDBDCAAD                                                                                                                                                           
MEHVEŞ TABAK        2463255674AEACCABBCBDACABBDEAEAEBECEBDCECEBCDCECBBCEDBCDEAACECAEBEBBEBADCEEBECCBECEBABABEAEDBCEDAADCBDCDAD                                                                                                                                                           
FİRUZE DÖNDER       2468066436BCABDAEACAEACBECBACEBBEDCACBCAEEAEBCCEBECDBCCAEBECDEEAEDEBEBBEBADECCBBDCEBCBDDCBDCDADBEABCBECDAD                                                                                                                                                           
KAYIHAN NEDİM AKARCA2470349523DCACDBEAECABBACBCBABEBEDCBCBCEBBEEBCDBCCEBEEDCAEEECCEDEECECADBBEBEEBBEDCCACCBEAEEDABEBAAEDABDCDC                                                                                                                                                           
TALİP ORHAN         2475165983DDBCABEBECABDACBCBABEADDCBCBAEBBEDBCDBCCEBEEBCAEEEECDCEEEEBADBBEBECBBEDCCBCBDAADBEABEBDDCDCBDADA                                                                                                                                                           
DOKTORA CANUYAR     2484405412DDACABEAECABEACBCBABEBEDCBCBAECBEDBCDBCCEBEDBCAEEEECDCAEEEBADBBEBECBBEDCCBCBDADDBEABDBEDCDCBDCDA                                                                                                                                                           
GÜNEY KUNTER        2511996495CCBCDEBBDEABCCAAEACDBECEAEBEACDCEDEBDDCBBCBBAEBECDEAADCEEEBBEBBACCDDBBCCBCBECBDCDAEDDDDBEABEDBCD                                                                                                                                                           
EKİN EGE YAMANOĞLU  2514583967CCBCBEBBBEAACCAAEABCBECEBEBEDCDBEDEBADCECCEBAECECDEACCCEBDBBEBBACEDDBCCCBBBECBCCDBCDDADBEABDDBCD                                                                                                                                                           
ARGÜN HİLMİ         2515011853CCBCAEBADEABCCAAEEBCBECEBEBEECDCEDEBDECBBCBBAEBECDEBEBCEEEBBDBBACEDDBCCCBBBECBDBDBBDDADBEABEEBCD                                                                                                                                                           
ATALAY FURKAN TENİM 2522087437AEACCAAECBCACDBCDECEAEBCDEBBCECECEBCCCABCEDBCDEAACCCAECEBBEBADCEEBECCCECBBDBEDEAEDBECECBDEBACBAD                                                                                                                                                           
LAWRENCE TEZOH MORBE2549659253CCBCAEBBDEABECADEABCCECEBEBECDDAEAEEDECBBCBAAEBECDEBDDBEEEBBEBBACCDDBDCCCBBECBACDACDDADCEABCDBED                                                                                                                                                           
KEREM ARDA TATLISU  2556410429BCCBDAEACAEACBECBABEBBDDCCCBCAEDAEBCCEBACDCEBAEDECDEAAECEBEBBEBADECCBBDCEBCBCDABDCDDDCEEBEBECCBE                                                                                                                                                           
OĞAN ÖCAL           2584572831CCBCAEBBDEACACAAEABCCECEBEBEEDDEEEEBDDCBBCBBAEBECDEBCDCEEEBBDBBACEDDBCCCCBBECBDEABCDDADDEADDEBCD                                                                                                                                                           
ZÜLAL ÇOLAK         2591457187DDBCAAEAECEBCADBCBBECBEBECCBBCCBEEBCDCDEEAEEBCAEEEBCDCAEEEBADBBEBECBBEDCCBCCAACDCEAEEBEDEDCBDCDA                                                                                                                                                           
ŞAFAK PAKDİL        2626283324BCABDAEACAEACBECAABEDBEDCBCBCAEDDEBCCEBECDBECAEBCCDDEAECEBEBBEBADECCBBDCECCBBDABDCDDDBEEBEAEEEAA                                                                                                                                                           
SEZER KALSIN        2637855615ADACDDBCCEBACABBDEAEBEBCCEDDBEDBAEDCCEECEEDACDDEACCCEECEEBEEADCEEBCCCBECBDDBCDEABEBEEDAACEBABDAD                                                                                                                                                           
MEHMETCAN AKAY      2684939392AEABDBABCCBACDBBDEABAEBECEDECABCBECCBCECDDEACC CADECABCEEEEBADBABBDCCBECBBDBEBEADBEDEEAADABDCDED                                                                                                                                                           
DOĞANGÜN ÇAĞLAR     2738762524AEACCABBCBBACABACEAEAEBACEBDBECACEDCBCBBCDDBCDECACCCAEBCBBEBADCEECDCCCECBBDBCBEABDAECDAADCBDCDAD                                                                                                                                                           
İŞÇAN KIZILCA       2742061512BCABDAEACAEACBECBABEBBEDCBCBCBEDAEBCCEBECDBECAEDECDEAACDEBEBBEBADECCBBDCEBCBCDCBDCDAAAEABDBDCDAD                                                                                                                                                           
DELAL ABDULLATİF ABZ2749085668BCABDAEACAEACBECBADECBDDEBCBCBEDAEBCCEBECDBECAECECBEAEECEBEBBEBADECCBBDCEBCCCDABACDDDDEABDBDCDED                                                                                                                                                           
